index	P(0)	P(1)	P(2)	Pw	Cd0(0)	Cd0(1)	Cd0(2)	N(0)	N(1)	N(2)	Cd(0)	Cd(1)	Cd(2)	Cd(3)
5685	0.0328547	1.52262	0.0723717	1	0	0	0	0.266693	-0.369484	0.890144	0.761	0.761	0.761	1
5686	0.0351303	1.5239	0.0720519	1	0	0	0	0.365282	-0.31073	0.877506	0.761	0.761	0.761	1
5687	0.0369175	1.52578	0.0718007	1	0	0	0	0.443102	-0.22422	0.867978	0.761	0.761	0.761	1
5688	0.0380575	1.52809	0.0716405	1	0	0	0	0.492972	-0.11746	0.86208	0.761	0.761	0.761	1
5689	0.0403647	1.53063	0.0703182	1	0	0	0	0.591736	7.36769e-07	0.806132	0.761	0.761	0.761	1
5690	0.0398818	1.53376	0.070386	1	0	0	0	0.57052	0.144317	0.808504	0.761	0.761	0.761	1
5691	0.0384762	1.53661	0.0705836	1	0	0	0	0.508977	0.275328	0.815559	0.761	0.761	0.761	1
5692	0.0362728	1.53892	0.0708933	1	0	0	0	0.413146	0.38127	0.827009	0.761	0.761	0.761	1
5693	0.0334673	1.54051	0.0712876	1	0	0	0	0.292017	0.453073	0.842289	0.761	0.761	0.761	1
5694	0.0303089	1.54121	0.0717314	1	0	0	0	0.156414	0.4849	0.860469	0.761	0.761	0.761	1
5695	0.0270785	1.54097	0.0721854	1	0	0	0	0.0180071	0.474229	0.880217	0.761	0.761	0.761	1
5696	0.0240628	1.53982	0.0726093	1	0	0	0	-0.111408	0.42189	0.899776	0.761	0.761	0.761	1
5697	0.0215301	1.53785	0.0729652	1	0	0	0	-0.220596	0.332068	0.917098	0.761	0.761	0.761	1
5698	0.0197052	1.53523	0.0732217	1	0	0	0	-0.299724	0.212268	0.930112	0.761	0.761	0.761	1
5699	0.0187503	1.53221	0.0733559	1	0	0	0	-0.341313	0.0730117	0.93711	0.761	0.761	0.761	1
5700	0.0187503	1.52905	0.0733559	1	0	0	0	-0.341305	-0.0730079	0.937113	0.761	0.761	0.761	1
5701	0.0197052	1.52603	0.0732217	1	0	0	0	-0.299718	-0.212266	0.930114	0.761	0.761	0.761	1
5702	0.0215301	1.52341	0.0729652	1	0	0	0	-0.220599	-0.332067	0.917097	0.761	0.761	0.761	1
5703	0.0240628	1.52144	0.0726093	1	0	0	0	-0.111405	-0.421887	0.899778	0.761	0.761	0.761	1
5704	0.0270785	1.52029	0.0721854	1	0	0	0	0.0180102	-0.474229	0.880217	0.761	0.761	0.761	1
5705	0.0303089	1.52005	0.0717314	1	0	0	0	0.156416	-0.484907	0.860465	0.761	0.761	0.761	1
5706	0.0334673	1.52075	0.0712876	1	0	0	0	0.292024	-0.453085	0.84228	0.761	0.761	0.761	1
5707	0.0362728	1.52234	0.0708933	1	0	0	0	0.413152	-0.381277	0.827002	0.761	0.761	0.761	1
5708	0.0384762	1.52465	0.0705836	1	0	0	0	0.508972	-0.275327	0.815563	0.761	0.761	0.761	1
5709	0.0398818	1.5275	0.070386	1	0	0	0	0.570506	-0.144314	0.808515	0.761	0.761	0.761	1
5710	0.0421537	1.53063	0.0688655	1	0	0	0	0.667157	-9.73372e-08	0.744917	0.761	0.761	0.761	1
5711	0.0415841	1.53432	0.0689456	1	0	0	0	0.642071	0.169599	0.747651	0.761	0.761	0.761	1
5712	0.0399257	1.53768	0.0691786	1	0	0	0	0.569418	0.32335	0.755783	0.761	0.761	0.761	1
5713	0.0373259	1.54042	0.069544	1	0	0	0	0.456544	0.447401	0.769026	0.761	0.761	0.761	1
5714	0.0340158	1.54228	0.0700092	1	0	0	0	0.314216	0.531287	0.786767	0.761	0.761	0.761	1
5715	0.0302895	1.54311	0.0705329	1	0	0	0	0.155155	0.568409	0.807984	0.761	0.761	0.761	1
5716	0.026478	1.54283	0.0710686	1	0	0	0	-0.00711722	0.555969	0.831173	0.761	0.761	0.761	1
5717	0.02292	1.54147	0.0715686	1	0	0	0	-0.158983	0.494878	0.854295	0.761	0.761	0.761	1
5718	0.0199317	1.53914	0.0719886	1	0	0	0	-0.287371	0.389827	0.874901	0.761	0.761	0.761	1
5719	0.0177786	1.53606	0.0722912	1	0	0	0	-0.380626	0.249386	0.890467	0.761	0.761	0.761	1
5720	0.0166519	1.5325	0.0724496	1	0	0	0	-0.429733	0.0858173	0.898869	0.761	0.761	0.761	1
5721	0.0166519	1.52876	0.0724496	1	0	0	0	-0.42973	-0.0858166	0.89887	0.761	0.761	0.761	1
5722	0.0177786	1.5252	0.0722912	1	0	0	0	-0.380623	-0.249385	0.890468	0.761	0.761	0.761	1
5723	0.0199317	1.52212	0.0719886	1	0	0	0	-0.287378	-0.389832	0.874897	0.761	0.761	0.761	1
5724	0.02292	1.51979	0.0715686	1	0	0	0	-0.158984	-0.494877	0.854296	0.761	0.761	0.761	1
5725	0.026478	1.51843	0.0710686	1	0	0	0	-0.00711238	-0.555956	0.831181	0.761	0.761	0.761	1
5726	0.0302895	1.51815	0.0705329	1	0	0	0	0.155156	-0.568409	0.807984	0.761	0.761	0.761	1
5727	0.0340158	1.51898	0.0700092	1	0	0	0	0.314227	-0.531303	0.786752	0.761	0.761	0.761	1
5728	0.0373259	1.52084	0.069544	1	0	0	0	0.456546	-0.447407	0.769021	0.761	0.761	0.761	1
5729	0.0399257	1.52358	0.0691786	1	0	0	0	0.569412	-0.323346	0.755789	0.761	0.761	0.761	1
5730	0.0415841	1.52694	0.0689456	1	0	0	0	0.642068	-0.169599	0.747653	0.761	0.761	0.761	1
5731	0.0438002	1.53063	0.0672405	1	0	0	0	0.735795	-2.09878e-07	0.677204	0.761	0.761	0.761	1
5732	0.0431488	1.53485	0.0673321	1	0	0	0	0.707055	0.193085	0.680288	0.761	0.761	0.761	1
5733	0.0412527	1.53869	0.0675986	1	0	0	0	0.623952	0.367872	0.689459	0.761	0.761	0.761	1
5734	0.0382802	1.54182	0.0680163	1	0	0	0	0.495154	0.508563	0.704405	0.761	0.761	0.761	1
5735	0.0344954	1.54395	0.0685482	1	0	0	0	0.333158	0.603458	0.724462	0.761	0.761	0.761	1
5736	0.0302348	1.5449	0.069147	1	0	0	0	0.152434	0.645359	0.748515	0.761	0.761	0.761	1
5737	0.0258768	1.54458	0.0697595	1	0	0	0	-0.0318486	0.631309	0.774877	0.761	0.761	0.761	1
5738	0.0218087	1.54302	0.0703312	1	0	0	0	-0.204489	0.562285	0.801261	0.761	0.761	0.761	1
5739	0.0183919	1.54036	0.0708114	1	0	0	0	-0.350767	0.443315	0.824884	0.761	0.761	0.761	1
5740	0.01593	1.53684	0.0711574	1	0	0	0	-0.457268	0.283838	0.842818	0.761	0.761	0.761	1
5741	0.0146419	1.53276	0.0713385	1	0	0	0	-0.513462	0.097717	0.85253	0.761	0.761	0.761	1
5742	0.0146419	1.5285	0.0713385	1	0	0	0	-0.513465	-0.0977185	0.852529	0.761	0.761	0.761	1
5743	0.01593	1.52442	0.0711574	1	0	0	0	-0.45726	-0.28383	0.842825	0.761	0.761	0.761	1
5744	0.0183919	1.5209	0.0708114	1	0	0	0	-0.350764	-0.443316	0.824885	0.761	0.761	0.761	1
5745	0.0218087	1.51824	0.0703312	1	0	0	0	-0.204496	-0.562294	0.801253	0.761	0.761	0.761	1
5746	0.0258768	1.51668	0.0697595	1	0	0	0	-0.0318482	-0.631309	0.774877	0.761	0.761	0.761	1
5747	0.0302348	1.51636	0.069147	1	0	0	0	0.152432	-0.645353	0.748521	0.761	0.761	0.761	1
5748	0.0344954	1.51731	0.0685482	1	0	0	0	0.333159	-0.603457	0.724462	0.761	0.761	0.761	1
5749	0.0382802	1.51944	0.0680163	1	0	0	0	0.495152	-0.508564	0.704405	0.761	0.761	0.761	1
5750	0.0412527	1.52257	0.0675986	1	0	0	0	0.623944	-0.367868	0.689468	0.761	0.761	0.761	1
5751	0.0431488	1.52641	0.0673321	1	0	0	0	0.707052	-0.193084	0.680291	0.761	0.761	0.761	1
5752	0.0452891	1.53063	0.065458	1	0	0	0	0.797138	-1.65088e-07	0.603797	0.761	0.761	0.761	1
5753	0.044562	1.53534	0.0655602	1	0	0	0	0.764996	0.214591	0.607233	0.761	0.761	0.761	1
5754	0.0424452	1.53963	0.0658577	1	0	0	0	0.672199	0.408552	0.617441	0.761	0.761	0.761	1
5755	0.0391269	1.54312	0.066324	1	0	0	0	0.52874	0.564295	0.634038	0.761	0.761	0.761	1
5756	0.0349018	1.5455	0.0669178	1	0	0	0	0.348767	0.669071	0.656281	0.761	0.761	0.761	1
5757	0.0301454	1.54656	0.0675863	1	0	0	0	0.14834	0.715255	0.682939	0.761	0.761	0.761	1
5758	0.0252804	1.54621	0.06827	1	0	0	0	-0.0559474	0.699774	0.71217	0.761	0.761	0.761	1
5759	0.020739	1.54447	0.0689083	1	0	0	0	-0.247542	0.623638	0.741484	0.761	0.761	0.761	1
5760	0.0169247	1.5415	0.0694444	1	0	0	0	-0.410237	0.492117	0.767806	0.761	0.761	0.761	1
